517,0.0034954,1.58E-05,0.0027691,0.00065231
518,0.0035628,1.30E-05,0.0028435,0.00062801
519,0.0036031,1.60E-05,0.0029145,0.0006137
520,0.0036626,1.57E-05,0.0029966,0.00060969
521,0.0036869,1.52E-05,0.0030853,0.00055986
522,0.0037476,1.63E-05,0.0031414,0.00052777
523,0.0037654,1.78E-05,0.0031909,0.00049454
524,0.0038084,1.55E-05,0.0032622,0.00047355
525,0.0038277,1.71E-05,0.0032816,0.00043948
526,0.0038258,1.84E-05,0.0033017,0.00041574
527,0.0038367,1.59E-05,0.003364,0.00038985
528,0.0038454,1.66E-05,0.0034065,0.00037298
529,0.0038438,1.68E-05,0.0034329,0.00035166
530,0.0038725,1.46E-05,0.0034629,0.00030895
531,0.0038853,1.63E-05,0.003509,0.00030689
532,0.003933,1.87E-05,0.0035863,0.00027974
533,0.0039851,1.84E-05,0.0036437,0.00026286
534,0.0039944,1.62E-05,0.0036827,0.00024566
535,0.0040271,1.56E-05,0.0037457,0.00022321
536,0.004104,1.50E-05,0.0037999,0.00020677
537,0.0040818,1.52E-05,0.0038236,0.00019675
538,0.0040745,1.41E-05,0.0038272,0.00018341
539,0.0040549,1.74E-05,0.0038288,0.00016579
540,0.0040153,1.58E-05,0.0038229,0.00015478
541,0.004008,1.48E-05,0.0038121,0.00014302
542,0.0040326,1.52E-05,0.0038235,0.00012758
543,0.0040378,1.60E-05,0.0038446,0.00011297
544,0.0040217,1.58E-05,0.0038411,0.00010136
545,0.0040193,1.80E-05,0.0038461,8.83E-05
546,0.0039683,1.44E-05,0.0038106,8.40E-05
547,0.003949,1.46E-05,0.0037967,7.37E-05
548,0.0038857,1.47E-05,0.0037433,6.63E-05
549,0.0038224,1.46E-05,0.0037372,5.75E-05
550,0.0037819,1.49E-05,0.0036789,5.24E-05
551,0.0037403,1.24E-05,0.0036082,4.69E-05
552,0.0036377,1.45E-05,0.0035358,3.78E-05
553,0.0035651,1.54E-05,0.0034649,3.59E-05
554,0.0035057,1.26E-05,0.0033755,3.63E-05
555,0.0034079,1.38E-05,0.0033027,3.21E-05
556,0.0033283,1.55E-05,0.0032352,2.44E-05
557,0.0032571,1.48E-05,0.0031918,2.11E-05
558,0.0032132,1.38E-05,0.003123,2.22E-05
559,0.0031766,1.69E-05,0.0030984,2.08E-05
560,0.003143,1.50E-05,0.0030726,1.60E-05
561,0.0031148,1.65E-05,0.0030449,1.72E-05
562,0.0030733,1.75E-05,0.003002,1.94E-05
563,0.0030389,1.88E-05,0.0029443,1.69E-05
